标题,帖子数,回帖数,时间,情感
狂笑 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利润,25058,64,2017-07-09 19:31:49,0.3245425641215529
==华泰证券第一梯队大券商绩优成长中国互联网券,21924,87,2017-07-31 10:56:12,0.9972175201062962
券商股值得重仓买入和拼命捂住的根本原因,47649,46,2017-05-10 11:39:47,0.22994020083370292
疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三年利润之和超,20918,44,2017-06-26 11:27:49,0.9926566969349712
招商--全球顶级抗癌药，中国拥有自主研发产权,9236,14,2017-07-30 20:22:45,0.9998673748128182
2017定增招商证券续（网格交易）,70063,104,2016-12-25 14:28:54,0.5514648774462466
实战炒股口决： 十四工作线，来回做波段；突破,55011,94,2017-03-21 08:08:04,0.986755970349184
招商证券上半年净利增长13.85%债券承销规模市场,8790,5,2017-08-25 10:37:08,0.9200131907435066
一心陪股友走完招商证券从16到32元全程,43388,61,2017-04-27 14:33:24,0.8755919343745808
招商证券：iPhone8带来新增长动力 瑞声将迎一波,6562,4,2017-08-31 22:31:12,0.8581382488549808
招商证券：需求持续好于预期 3季度经济延续稳中,6022,4,2017-08-31 11:30:59,0.9883826783217888
->华泰证券+美国金融科技企业颠覆“金融系统”,239198,515,2016-07-27 19:16:29,0.9999687895317774
招商--全球顶级抗癌药，中国拥有自主研发产权,13119,15,2017-05-12 22:15:52,0.9998673748128182
[摊手]MSCI Inc.来了，漂亮50必将是永远中流砥,8997,9,2017-06-22 13:36:05,0.9709485392335704
招商证券(600999)融资融券信息(08-17),5042,4,2017-08-18 07:47:37,0.8564052246353344
粤水电(OO2O6O)未来国企改革是是肯定潜力______,7057,5,2017-07-21 17:01:47,0.9954491814359261
[鼓掌][鼓掌][鼓掌][鼓掌][赚大了][赚大了][赚,4831,3,2017-08-28 09:45:32,0.7871110091685262
缩量下跌放量上涨明显主力资金进场信号，一个“,15229,27,2017-05-27 08:36:31,0.6434082309428164
强烈看好券商!券商盈利模式转型：投行将成为券,18096,23,2017-05-27 20:46:19,0.7281095668896396
新股发行不能停的重要理由：让凯撒归凯撒市场归,9525,14,2017-06-11 20:58:24,0.06081972954919124
2017年撸起袖子加油干！宿命与反抗！当前我国资,12118,20,2017-03-16 18:24:39,0.9920695079712193
可怜的散户失败的原因就是：底部区域极度恐慌而,12011,15,2017-03-05 08:03:49,0.008424070180150234
GJD全控银行、保险、券商、两桶油、大型煤炭企,15997,21,2017-04-22 10:45:35,0.06817264528673905
中报速递：招商证券2017年上半年盈利25.52亿元,15971,12,2017-08-24 18:51:30,0.3738549075824513
招商证券：上半年业绩逆势增长 二季度获证金公,31810,10,2017-08-24 22:09:24,0.9719287249002997
招商证券半年报业绩逆势增长 证金增持,7275,3,2017-08-25 08:46:55,0.9456602367163759
招商证券(600999)融资融券信息(08-24),2158,4,2017-08-25 07:45:59,0.8564052246353344
焦虑，忧伤,17430,240,2017-08-11 16:32:38,0.9067445755974359
IPO募资一成给了投行？最贵一单IPO招商证券赚1.,28118,6,2017-08-23 16:04:43,0.7911647484969212
瀑布表演节目开始,8187,43,2017-06-29 12:39:51,0.32102798058328164
说明市场做多力量十分有限；另外,4926,46,2017-05-08 14:41:07,0.9869676133924669
一弯月色湮开了水墨丹青,4418,42,2017-05-09 22:35:33,0.7707559292043594
没啥说的，今天继续涨，因为进入低级别牛市就是,5131,50,2017-05-09 10:22:46,0.3293178160985315
这牛脾气太倔，牵着不走，打着倒退,4916,52,2017-05-09 21:52:47,0.1513119360773929
券商只荐不保坑难糊 11只次新股变脸招商证券保,58397,15,2017-06-23 11:02:53,0.035689799073783224
招商证券(600999)融资融券信息(08-18),6201,35,2017-08-19 08:37:02,0.8564052246353344
招商证券拟向联营公司招商基金增资4.95亿元,9672,12,2017-08-18 21:19:47,0.8147647751021627
中证监核准熊伟任职招商证券独立非执董一职,6132,12,2017-08-18 21:25:59,0.761982133341311
彪彪上涨,27211,38,2016-11-22 09:48:09,0.1837233963534416
招商证券为招证英国获取银行授信提供5000万美元,11637,21,2017-08-16 20:34:47,0.6834158203139961
招商证券(600999)融资融券信息(08-11),5937,9,2017-08-12 07:47:20,0.8564052246353344
突破3139是底部完成。,6460,40,2017-07-04 18:06:12,0.7337475865628486
招商证券七月净利润按月急增1.14倍,11377,3,2017-08-07 09:57:37,0.927453934913935
招商策略会魔咒再应验 沪指跌近2%失守3500点,30333,21,2015-12-09 03:56:12,0.998764265441211
高位急拉升是大跌前的诱多！机构出货是一个价格,11471,14,2016-11-03 13:30:19,0.6430174647853848
快讯：农药化工战略储备股飙涨！高成长次新股中,5488,14,2017-07-21 11:43:46,0.9994905062553063
【讨论】策略会结束是否该反弹了？,418185,4,2015-12-09 10:03:47,0.9400892763747635
招商证券7月份母公司净利微增1.23%至4.95亿元,13669,5,2017-08-04 21:42:37,0.8439422894222701
招商证券母公司7月净利近5亿 环比翻番,27153,9,2017-08-04 21:53:43,0.6202437603700924
600999:招商证券2017年7月财务数据简报,37287,7,2017-08-04 16:21:35,0.40947030252592
一个幽灵 招商证券的幽灵在A股徘徊,76857,50,2015-12-08 23:11:58,0.5944662008964555
券商唱歌跳舞为那般？券商救市所持中字头股票50,18220,22,2016-12-01 12:55:36,0.9678833134225091
价高估出不如下全转买*惊天一路一带龙头600307,18059,58,2017-06-04 18:21:21,0.6609098736339164
招商证券(600999)融资融券信息(06-27),6326,9,2017-06-28 07:47:11,0.8564052246353344
进场: “双重改革”受益股,社保养老金标的股,3238,4,2017-07-29 14:01:44,0.9893200488469195
短调是低吸机会,5980,30,2017-07-14 18:20:17,0.5111486610785237
美军抢站军事至高点，中国抢至三瓶酒至高点。,4517,37,2017-07-20 15:53:04,0.9464442519159728
《一个雄霸全球的大牛市正式开始》15年的疯牛只,15825,36,2017-04-08 08:03:20,0.7462882890882214
白痴不抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资,21523,41,2017-03-01 20:03:50,0.9990014513534955
招商证券(600999)融资融券信息(05-18),6938,4,2017-05-19 07:47:36,0.8564052246353344
粤水电(OO2O6O)未来国企改革是是肯定潜力______,16914,43,2017-05-13 17:26:18,0.9954491814359261
基金抱团炒个股是中国式庞氏骗局，隐患危害大99,35372,33,2016-07-21 14:27:20,0.9127362391170459
