标题,帖子数,回帖数,时间,情感
上周9.04~8.94之间建立底仓，之后每跌一毛购股,183599,326,2017-03-04 12:34:27,0.26629563766523745
为什么说散户一定要价值投资,27423,83,2017-07-02 21:18:03,0.8310531351885541
相信持有民生银行的股民都不是短线投机客，短炒,12088,18,2017-08-06 15:22:15,0.33680525860848143
承诺的分红，不到百分之三十，个人的工资好几百,39642,278,2017-07-11 14:47:02,0.17347109189068155
散户投资一定要理性，坚持价值投资,16747,30,2017-07-04 14:38:57,0.9975444438780129
[微笑]漂亮50英豪300必将疯狂展我中华5千年大帝,8474,14,2017-06-12 09:06:27,0.9958989295114437
机会摆在大家的面前就看如何把握了,135114,364,2017-05-09 11:45:03,0.9653164516914159
民生银行市盈率5.44，市净率0.86，股息率0.034,8705,13,2017-09-04 08:48:55,0.10303309199654898
期望民主银行股价五年内翻倍的可能性有多大?,40223,60,2017-08-13 18:10:59,0.7967977940860429
价值投资,13898,69,2017-08-20 16:54:43,0.9045413616333499
一个小小散的十五年吹牛皮之路,85019,234,2017-05-29 20:19:35,0.5385645628202892
所谓价值投资是注重这个公司实际价值和目前股价,12594,34,2017-07-11 13:50:51,0.9836752378647964
沃伦巴菲特1991的贴子,63944,203,2017-06-03 05:28:04,0.9790142636187678
民生银行有没有投资价值大家说,103739,152,2017-03-21 20:23:53,0.7208324460217453
民生银行值得投资吗，看了再说（单击表格看得更,8925,10,2017-08-31 22:36:35,0.9723572104450675
现在为什么要价值投资，因为要与世界接轨了。,18417,41,2017-07-11 17:11:48,0.9949296866060834
民生银行今年是否还有下行空间，下行的目标的是,11259,17,2017-09-02 10:29:09,0.2713250088804966
次新股仅此1家0.98元业绩股价不到10块江苏银行,36007,75,2017-04-27 21:17:13,0.049974062228807736
民生中短线有机会，不是长线标的。,110139,269,2017-06-01 11:37:02,0.8892645925050392
我说7.76是历史的底点吗？让这笨主力再打掉，好,12239,54,2017-04-26 13:52:03,0.1921338933505049
民生目前只能做中长线投资，不适合做短线,8405,23,2017-09-02 08:06:39,0.9895610102604473
建议愿意长期投资的朋友们买点年收益17.37%的银,204059,451,2017-05-03 08:32:08,0.9942839355844683
进场收尸:地产称霸南京，医美雄冠亚洲,3681,6,2017-08-30 15:30:52,0.34676555243934126
咯咯咯咯咯，晨鸣三年利润之和超现公司市值。 ,19740,51,2017-06-26 21:17:32,0.967878051556906
冀G64445，就是超级SB,5648,15,2017-09-02 08:13:36,0.16393797995791126
为什么说鼓吹价值投资是忽悠,47904,142,2017-07-01 18:36:24,0.028909419821559923
买了民生银行的小散，这辈子倒霉，下辈子难翻身,9102,17,2017-07-06 10:47:40,0.2006486997159037
民生银行适合长期投资却不是好的短线标的,17468,22,2017-08-23 09:54:09,0.8945807090426615
民生净资产年报后应该在10.3左右 明年11块多 后,17619,33,2017-08-20 21:34:15,0.6269398010204779
民生银行比其它银行贱价有原因的，值得买。,24185,27,2017-08-06 06:10:34,0.6910753236998336
浦发银行，交通银行，民生银行股值比较,18802,23,2017-08-29 20:31:45,0.12256710397241866
民生银行现价有没有投资价值？,27246,24,2017-07-19 06:26:46,0.9026180354139167
攻市场4000点之前，可大胆进行低吸的10只潜力个,31998,48,2017-08-07 13:09:21,0.9598107761116244
眼下可底部大胆建仓的超跌低价潜力黑马个股 ,15357,43,2017-07-28 18:42:16,0.19409471379503984
揭密：中长线必将走牛的小盘潜力成长个股,13772,36,2017-07-27 18:13:10,0.9988842792888305
上市场4000点之前，可大胆进行低吸的10只潜力个,31470,55,2017-06-22 11:35:23,0.9613117473021258
此类个股有望成为2018年中的超级大牛股之一,30461,46,2017-06-16 15:09:56,0.5158031883345537
有望成为2018年的超级大牛股之一,35538,34,2017-05-25 18:19:35,0.5716835692443367
民生银行济南分行违规办理同业业务,17489,10,2017-08-24 11:25:22,0.14801357650232672
巴菲特1991，万科91，工行小股东。三个就是同一,11766,71,2017-08-28 12:34:36,0.9938592767225296
股市不适合你冀G64445赶快卖掉股票存银行吧,32988,144,2017-07-09 17:58:48,0.6157709418012748
"冀G64445说""3月底前肯定见9.6元以上""这个大款多",38663,90,2017-06-06 21:14:39,0.10191474875431927
证金公司二季度增持3.4亿股民生银行，成民生银,18294,25,2017-08-28 21:30:09,0.7794605152950407
7.75挂单等筹码[大笑][大笑][大笑],9474,25,2017-05-15 09:53:10,0.7367076509626619
百善孝为先，万恶淫为首，企业高管群的邪淫是一,11051,28,2017-06-28 11:36:10,0.9940336380517305
1个月内见到16元,14110,18,2017-08-25 21:30:30,0.03375792968424818
民生银行获准发行不超过300亿元二级资本债券,12618,2,2017-08-31 00:59:51,0.8648367695706906
我喜欢破净股,8968,17,2017-08-29 06:43:11,0.21753299310522267
综合判断民生银行5倍市盈率，不到一倍市净率，,15208,15,2017-07-20 20:16:45,0.24589885152247293
中报速递：民生银行2017年上半年盈利280.88亿元,10688,4,2017-08-29 16:19:36,0.3061577205471009
300102 中报增长 1719%-2017%,5822,11,2017-08-03 14:07:24,0.8140701019902251
民生银行上半年实现净利润280.88亿元,13232,6,2017-08-29 07:09:42,0.4235963936539541
史玉柱所持民生A股全部质押 证金增持民生银行至,35815,7,2017-08-29 15:08:47,0.8828243066104499
该闭嘴的是冀G64445这个无耻透顶的搞屎棍,10400,38,2017-08-06 21:58:05,0.003507949048845327
美国的银行股,14657,19,2017-06-20 10:35:07,0.3100204334402139
机会摆在韭菲特1991的面前了 可惜他没能把握..,12183,72,2017-08-17 09:13:27,0.9862164928551489
股海无涯0295在11元连续发贴害苦多少人高位站岗,17409,74,2017-06-22 09:29:50,0.6589207977151275
8.5的成本，10.5走人。交给时间。,68062,173,2017-07-21 05:48:46,0.19342050638389063
某种人 被套之后 就喊五年翻倍,6309,17,2017-08-25 15:33:07,0.9631710967025248
好业绩+分配+股价低，明天民行银行可能涨停,13190,18,2017-08-28 22:11:36,0.8409293784298629
一个股吧最让人悲哀的莫过于吵架！你骂我几句，,5351,14,2017-08-27 20:03:12,0.6252927173403233
就是全年0.77元业绩，民生也值这个价,5701,6,2017-08-29 10:27:55,0.9155533701385231
股海无涯0295在股价顶部区下跌连续发贴引诱人家,17846,58,2017-06-10 08:43:49,0.7928685072357039
民生银行：上半年净利同比增3.18% 证金公司持股,40071,15,2017-08-28 21:27:27,0.21893454043883442
民生银行上半年净利润280亿 证金持股增至4.99%,21101,11,2017-08-29 00:26:06,0.07444653066743001
民生银行靠回拨减值准备45亿才实现利润正增长,15002,20,2017-08-28 21:21:41,0.219564387184504
民生银行未来二年的每股收益,23285,29,2017-05-18 10:10:39,0.9805277770960824
民生银行2017年中报业绩预期,49674,70,2017-08-17 10:37:24,0.5120561452730236
民生银行中期纯利同比增长3.18%至280.88亿元每,30605,6,2017-08-28 22:45:57,0.9279049631927392
600016:民生银行2017年半年度报告摘要,46098,8,2017-08-28 20:58:23,0.7193854631982286
中报必将一塌糊涂,13888,15,2017-08-26 22:40:09,0.09530448690730686
民生银行中报，大超预期！,29523,25,2017-08-28 17:53:30,0.5589264377274729
专家警示:此时买大盘权重股或将被套30年!,12144,27,2017-08-26 10:51:33,0.9361678573734097
奉劝攻击我的人应该销股票帐户去存银行,31154,101,2017-05-28 13:46:53,0.047674403834540025
[财力满仓]女士们先生们朋友们！战胜内心的恐惧,5227,13,2017-07-23 18:56:47,0.9714881443121417
民生银行(600016)融资融券信息(08-17),5935,4,2017-08-18 07:36:43,0.8150732906712007
民生银行早晚会出问题。民生银行经常向信用卡客,273692,126,2015-11-20 22:29:04,0.03012956126492472
600016:民生银行公告,64684,12,2017-08-22 19:34:11,0.46318947303986735
民生银行，我们分析他的价值，每股净资产9.12，,22569,14,2017-04-20 17:52:08,0.883274946612308
这让外资抄底的节奏就是这样。金融板块挺不容易,5502,6,2017-08-03 18:18:59,0.8995404882393757
股海无涯0295个骗子害人家在11元买套二年后跌到,25502,81,2017-06-09 23:53:29,0.001725988603125339
三次抄底民生套三次,11281,11,2017-08-23 16:00:27,0.7348719873451284
银监会纪检组：民生银行首席信息官林晓轩接受组,92003,28,2017-08-22 17:54:31,0.9527933523732308
目前大A股估值最低的股票-民生银行,15610,24,2017-08-16 13:18:01,0.438943773608119
民生银行成为垃圾银行的原因分析,11810,32,2017-08-17 07:19:24,0.2240161894174869
中国民生银行首席信息官林晓轩接受组织审查,20533,17,2017-08-22 18:41:02,0.9682046927979553
嘎嘎嘎，嘎嘎嘎，民生小散活王八,20456,24,2016-09-21 13:18:54,0.9978964141707204
民生银行要拉了。广东财经台空头李可能全仓民生,7456,22,2017-08-22 10:56:56,0.817860305836359
忍不住！！,73438,150,2015-10-21 11:21:15,0.3800975240267781
民生银行今明年发行债转股要不要买？ 16年民生,27520,51,2017-05-27 21:30:06,0.46512751670438
我的好友780人你冀G64445只25人说明群众的眼晴,7212,33,2017-08-07 09:36:09,0.6707500807659772
证据之一 保留,4714,17,2017-06-13 09:22:44,0.39767010978676987
韭菜菲特 进来看,669,17,2017-07-31 11:39:28,0.738761159206093
股海无涯0295 这个最可恶最卑鄙无耻的小人的卑,36814,224,2017-05-31 20:03:47,0.4670405777098168
以你冀G64445的智商和心态抄股亏钱很正常,8692,32,2017-08-05 21:09:38,0.4006899441032926
伪巴们最近有点烦，哈哈，有点烦！,14463,66,2017-08-03 14:26:35,0.09071696093511605
股海无涯0295 这个最卑鄙无耻小人的可恶行径,26868,139,2017-05-31 21:35:15,0.0688080483707969
我与钻石之王观点相反--具有长线投资价值,15791,29,2017-07-05 09:13:22,0.8925089456579639
唱空民生银行的都是搞屎棍，有种去融券做空,10015,41,2017-08-04 14:33:13,0.5885876160866866
7.9元一次性干到位，拿到现在了，还是觉得低廉,10435,23,2017-08-04 11:08:00,0.10509805782432258
