标题,帖子数,回帖数,时间,情感
做空还没平仓[亏大了][亏大了][亏大了]该不会大,16804,126,2017-07-07 00:11:03,0.0030377822078671013
超强投资潜力w,11474,34,2017-08-06 21:57:43,0.9824115540368117
散户必看炒股格言和现金策略！ 孙子云：先立于,45022,96,2017-04-18 07:37:23,0.08329665475196413
券商股值得买入和拼命捂住的根本原因,50552,42,2017-05-11 18:33:35,0.5881910765577252
铁心陪股友走完海通证券从现价到30元全程,48149,49,2017-04-27 11:05:16,0.23603784414286788
抢抢抢 咯咯咯咯，晨鸣三年利润之和超市值。 今,19167,41,2017-06-26 11:12:59,0.9986780218744437
海通--全球顶级抗癌药，中国拥有自主研发产权,6619,11,2017-07-30 20:06:55,0.9998894085604718
~~董明珠 银隆汽车 九鼎佑丰  华夏之星,10039,14,2017-07-12 12:08:15,0.3757971128606027
海通证券(600837)融资融券信息(09-01),5244,14,2017-09-02 07:55:05,0.8773374647166222
待市场转暖后  再说,35399,73,2017-04-24 18:56:18,0.6218562302170737
[委托队列惊现万手大单]MSCI Inc.来了，漂亮50,8228,10,2017-06-21 12:07:42,0.9217761084051849
调整较充分的证劵金融类股也值得选择,23110,31,2017-05-02 00:22:28,0.890592711698716
[加仓]请问各位高手们，此股是否会枯木逢春铁树,7504,11,2017-05-17 12:35:52,0.0723035491829217
收盘又变绿毛龟[微笑][大笑][鼓掌],9795,119,2017-08-28 11:09:55,0.9753934815058757
傻逼倒数第二,7797,124,2017-08-25 14:33:32,0.0752713318771161
海公公永远排在后排,7597,97,2017-08-25 12:46:39,0.7033507778533022
海通证券(600837)融资融券信息(08-31),4461,6,2017-09-01 08:03:02,0.8773374647166222
高位急拉升是大跌前的诱多！机构出货是一个价格,9782,13,2016-11-03 13:25:36,0.6430174647853848
谁能告诉我这个海通证券为什么那么不要脸啊，每,4830,35,2017-08-04 11:24:06,0.3995235724089675
海通现象思考,40603,39,2017-03-23 18:59:48,0.9365396394423705
瑞信：海通证券受海通银行亏损拖累 削目标至16.,11934,7,2017-08-30 16:54:51,0.7518968654216228
海通证券半年报降6% 证金增持至4.99%,6611,6,2017-08-30 10:01:08,0.3602744815028053
券商股大涨，这傻逼在倒数,7220,9,2017-08-02 14:29:23,0.06668999586762259
海通证券半年赚约40亿人民币减近6%,3555,7,2017-08-30 10:13:46,0.8354892171811611
