标题,帖子数,日期,情感
绿地瘸腿走路：狂砸500亿的商品直售毛利率不足1,26226,2017-09-04,0.14141328134555664
昨天大宗交易8:34，今天交易价破8,23773,2017-01-26,0.1096473171899689
严查张无良和平安利益输送，大家积极行动起来，,17288,2017-08-21,0.810136866831512
绿地控股多产业协同成效显著 上半年公司净利润,19643,2017-09-04,0.8403230997765968
就是手贱喜欢画（和另外两张图并不矛盾）欢迎讨,12161,2017-09-04,0.7160133005982757
王石都下课了，张玉良有何颜面面对绿地，有点自,42682,2017-07-19,0.9576431240080112
20170504  6月 7 月 0804  频繁卖盘挂4444 777 ,8916,2017-08-04,0.005105936977532033
仅此1家0.98元业绩次新股股价不到10块江苏银行,42109,2017-04-29,0.049974062228807736
绿地磨练成龙 定会翱翔天空,9609,2017-08-31,0.9560743271164037
抢盘啦抢盘了 咯咯咯咯 狂笑大笑 翻倍股 晨鸣季,8538,2017-06-13,0.9978782640285017
价值是满足主体需要的构着性,981185,2017-04-29,0.8397959756738632
今天7.63元买入绿地控股26万股，是福是祸？股吧,39002,2017-08-30,0.0385397698712141
张无良你好，绿地控股一个世界500强，市值不到9,9193,2017-09-02,0.5584901378642091
谁把无良给做了，我捐一块钱,3439,2017-08-23,0.746363953816073
关于绿地控股的分析,927209,2017-05-22,0.7565173196778578
大家成本是多少哇，报个数吧,23832,2017-08-12,0.45136265532106856
绿地控股：后房地产时代的赢家变法,36840,2017-09-03,0.9199444119799618
绿地控股(600606)融资融券信息(09-01),8332,2017-09-02,0.6508090956621763
15年每股收益0.56元，股价14元多值不值？,142125,2016-03-15,0.5799146601456231
绿地房地产板块上半年合同销售额1331亿元,28176,2017-09-01,0.239456874442583
绿地控股(600606)大宗交易数据一览(09-01),46419,2017-09-01,0.1273723293564386
截止8.19日，绿地再融资排名92，已反馈排在第三,29571,2017-08-19,0.03183023388070749
看股东表，获利丰厚的解禁股，还有大半未减持[,44848,2017-02-16,0.2531458688781626
绿地控股(600606)融资融券信息(08-31),5528,2017-09-01,0.6508090956621763
绿地控股的散户们，别再做梦了，中国平安减持绿,9676,2017-09-01,0.3412951837540894
大盘分析,133232,2017-06-07,0.9119210197017606
前天高抛了，今天等待低吸,30628,2017-06-28,0.3242706168928723
哈哈，十几万散户，傻子才跟你们抬轿，绿地将跌,9573,2017-08-31,0.005251445263551258
