标题,帖子数,日期,情感
千万别死扛，跌到100都正常，98%都是水，值不了,61019,2017-07-10,0.001487827449328183
贵州茅台(600519)大宗交易数据一览(09-04),11089,2017-09-04,0.14904983040982756
山登绝顶我为峰一一贵州茅台每股股价数年内将和,695232,2016-10-26,0.9118890194141934
如此低的分红率，除权贴权是必须，大鳄高位已出,3355,2017-06-30,0.46944589589112196
茅台吧穷鬼多，穿草鞋的替穿皮鞋的着急，穷苦人,42943,2017-07-28,0.22729493120363997
揭穿价值投资的鬼话，如果真要价值投资，招商银,98517,2017-06-27,0.9997151511106501
价值投资的骗局,106404,2017-06-11,0.8950792932739258
一一一白酒股下不去一一一科技股起不来一一一,2625,2017-08-26,0.16167162918182088
下您一大跳啊,3320,2017-08-30,0.31899410304505726
《东方新观察·再说价值投资》 ——好话说三遍,,119334,2017-05-05,0.9977827270705298
仅此1家江苏银行股价不到10块0.98元业绩次新股,37530,2017-04-30,0.04997406222880718
==奇虎360借壳中国中期,13907,2017-08-11,0.4385610164700815
与“贵州茅台”无缘,5864,2017-06-27,0.47134519531441565
清仓一一一一一一一一一一一一一一一一一一一清,3449,2017-08-15,0.9789382831259754
贵州茅台涨停,164473,2016-10-12,0.41343861981993124
430元继续买贵州茅台是价值投资首选真龙头没有,18406,2017-05-19,0.989186854028057
600519年线四阳一阴 ？,4660,2017-08-27,0.459853604717262
全都在上涨，茅台马上补涨！,3413,2017-08-25,0.1909727395289067
[困顿]MSCI Inc.来了，漂亮50必将是永远中流砥,4746,2017-06-21,0.990124922799282
一地鸡毛这算经典吗？@无铭 郁金香.藏獒犬版本,6168,2017-08-21,0.9961115271829062
底部从来都是静悄悄，生怕被发现，还不断发利空,9199,2017-08-06,0.50315820118849
狼VS羊,8635,2017-07-23,0.9758564361857596
茅台就是珍藏品,115532,2017-05-21,0.4737672181921908
全世界的投资者 有没有信心把贵州茅台搞到1000,7639,2017-03-22,0.8997916634011492
俺看不准：看图您说上上破还是下破,3139,2017-08-29,0.12262905931806212
《 酒精加水为什比酒精贵得多啊 》,2690,2017-08-22,0.098143176022783
散户必看炒股格言和现金策略！,21340,2017-06-10,0.3017520261998339
是走还是留？拔剑四顾心茫然！,5951,2017-08-19,0.6287045385823276
茅台“两节”市场投放量增加4200吨,9587,2017-08-30,0.531986529304515
茅台价格飞天五粮液跟涨力不从心 品牌号召力不,39705,2017-09-01,0.5196455195171852
[游资做多不死心]请问各位高手们，此股是否会枯,5146,2017-05-15,0.025579816919513165
坚持高端白酒股继续看好的想法,7714,2017-05-23,0.29434673768591424
贵州茅台释放控价信号：酒是用来喝的 不是拿来,156816,2017-08-29,0.31148247103394044
贵州茅台(600519)大宗交易数据一览(01-22),100372,2016-01-22,0.14904983040982756
一一600519大股东应减持部份：献給贵周军区一一,2174,2017-08-26,0.044809640580486865
喝这些高价酒的不知道有多少或者什么人，自酒价,4336,2017-08-25,0.02633925871497711
贵州茅台(600519)大宗交易数据一览(09-01),19217,2017-09-01,0.14904983040982756
茅台控价力保1299元红线 二三线的区域名酒反而,16506,2017-09-01,0.3841261238873035
股东人数增速超股价！茅台还能继续牛吗？,28642,2017-09-01,0.8410033794801864
证金公司二季度连买15家创业板公司 连续5个季度,289278,2017-08-23,0.7001225479612548
贵州茅台_星期五_红翻绿双色鬼变脸_405.74[空仓,40177,2017-04-22,0.08157890352332409
茅台  庄家在高位一点一点的卖出  散户在高位一,17683,2016-07-28,0.9349703484542528
准备买安硕信息300380，2015年涨到474元现跌到3,11352,2017-03-28,0.21508082381646643
坚定挖潜价值投资才是财富____________________,5488,2017-07-17,0.9649155048304365
今年下半年，茅台股价波动区间在450-500之间。,11514,2017-08-07,0.9809928929225111
入场收尸: 地产称霸南京，医美雄冠亚洲,3651,2017-08-11,0.2613908113232535
2年前开始给贵州茅台风貌改造工程供应建材噩梦,14071,2017-08-09,0.4280364361774006
将挑战，未复权历史最高价股价,23246,2017-04-18,0.9899194424053701
看周线随便一反弹就400了,2346,2017-08-27,0.2692057495967415
坚决持有茅台，静待时间玫瑰绽放，两年目标价10,21336,2017-07-27,0.9264986081094594
但斌光明磊落，知行合一。,12489,2017-08-17,0.7848834423144085
联通能跌7个点一一一茅台就不能吗 ？,3746,2017-08-24,0.44582410672924666
茅台一定会崩盘！为什么？因为获利盘巨大，接盘,54271,2017-07-25,0.24230667325158828
疑惑？宁捧万元一杯红酒，不容两千一瓶茅台,4565,2017-08-18,0.2159747618959188
还在等茅台涨到600元？价值派基金经理早卖了,206823,2017-07-04,0.4229197619642113
贵州茅台成A股市场“全能王” 制霸上证50第一龙,292308,2017-08-27,0.9988634648490321
茅台--全球顶级抗癌药，中国拥有自主研发产权,7584,2017-06-23,0.9997878165850281
茅台加强市场管控 再罚云南贵州两家违规酒商,7806,2017-08-30,0.5338109111711578
贵州茅台(600519)融资融券信息(08-21),2752,2017-08-22,0.6910257465555865
贵州茅台(600519)大宗交易数据一览(08-30),14552,2017-08-30,0.14904983040982756
但斌仍力挺贵州茅台 自曝合计持股可进前十大流,277711,2017-08-17,0.1319431975906803
茅台毛利率领跑白酒公司 市盈率仅27倍,37901,2017-08-29,0.04136492201265263
收入、利润、预收款都超预期，白酒中流砥柱,27791,2017-07-31,0.24237296307578393
