日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(股),成交金额(元)
19901231,126.56,127.61,126.48,127.61,1.16,0.92,78,60000
19901228,126.39,126.45,125.28,126.45,1.17,0.93,108,88000
19901227,125.27,125.28,125.27,125.28,0.01,0.01,66,104000
19901226,125.27,125.27,120.25,125.27,5.02,4.17,100,53000
19901225,120.09,120.25,114.55,120.25,5.7,4.98,15,6000
19901224,113.57,114.55,109.13,114.55,5.42,4.97,32,31000
19901221,109.07,109.13,103.73,109.13,4.74,4.54,28,16000
19901220,104.3,104.39,99.98,104.39,4.41,4.41,197,84000
19901219,96.05,99.98,95.79,99.98,--,--,1260,494000
19910329,120.16,120.61,120.11,120.19,-0.42,-0.35,2185,2186000
19910328,120.65,121.15,120.61,120.61,-0.51,-0.42,961,505000
19910327,121.12,121.64,121.12,121.12,-0.5,-0.41,668,366000
19910326,121.62,122.14,121.62,121.62,-0.5,-0.41,1164,709000
19910325,122.12,122.62,122.1,122.12,-0.5,-0.41,443,324000
19910322,122.62,123.12,122.62,122.62,-0.5,-0.41,207,120000
19910321,123.14,123.66,123.12,123.12,-0.54,-0.44,151,131000
19910320,123.66,124.21,123.63,123.66,-0.56,-0.45,678,433000
19910319,124.23,124.71,124.22,124.22,-0.49,-0.39,892,682000
19910318,124.7,125.17,124.69,124.71,-0.46,-0.37,1250,1210000
19910315,125.08,125.62,125.08,125.17,-0.46,-0.37,790,403000
19910314,125.61,126.15,125.61,125.63,-0.52,-0.41,326,242000
19910313,126.13,128.77,126.13,126.15,-2.62,-2.03,498,418000
19910312,128.73,129.31,128.73,128.77,-0.54,-0.42,957,783000
19910311,129.3,129.89,129.3,129.31,-0.58,-0.45,514,299000
19910308,129.84,130.41,129.84,129.89,-0.52,-0.4,933,541000
19910307,130.41,130.94,130.41,130.41,-0.53,-0.4,568,427000
19910306,130.89,130.95,130.89,130.94,-0.52,-0.4,719,1345000
19910305,131.42,131.99,131.41,131.46,-0.53,-0.4,982,934000
19910304,132.09,132.09,131.98,131.99,-0.54,-0.41,2518,1418000
19910301,132.53,132.53,132.47,132.53,-0.48,-0.36,7124,3777000
19910228,132.99,133.52,132.98,133.01,-0.46,-0.34,2258,1187000
19910227,133.44,133.98,133.44,133.47,-0.46,-0.34,214,141000
19910226,133.9,134.44,133.9,133.93,-0.47,-0.35,1094,2545000
19910225,134.37,134.87,134.33,134.4,-0.47,-0.35,810,621000
19910222,134.85,134.87,134.28,134.87,0.59,0.44,3427,2003000
19910221,134.24,134.28,133.67,134.28,0.61,0.46,3220,1771000
19910220,133.63,133.67,133.13,133.67,0.54,0.41,876,520000
19910219,133.12,133.14,133.08,133.13,0.6,0.45,1748,1216000
19910214,132.53,132.53,132.3,132.53,0.61,0.46,3624,1883000
19910213,131.93,131.93,131.35,131.92,0.57,0.43,1152,673000
19910212,131.54,131.56,130.97,131.35,0.38,0.29,3774,1986000
19910211,130.92,130.97,130.39,130.97,0.59,0.45,9317,4834000
19910208,130.36,130.39,129.79,130.38,0.59,0.45,1234,879000
19910207,129.74,129.79,129.14,129.79,0.65,0.5,2133,1504000
19910206,129.13,129.15,128.06,129.14,0.56,0.44,6641,3847000
19910205,128.56,128.58,128.53,128.58,-0.47,-0.36,8562,4250000
19910204,129.05,129.58,129.05,129.05,-0.46,-0.36,553,273000
19910201,129.5,129.97,129.45,129.51,-0.46,-0.35,345,140000
19910131,129.93,130.46,129.93,129.97,-0.47,-0.36,510,244000
19910130,130.44,130.95,130.41,130.44,-0.51,-0.39,527,260000
19910129,130.95,130.97,130.95,130.95,-0.51,-0.39,1387,710000
19910128,131.46,131.55,131.46,131.46,-0.59,-0.45,5107,2565000
19910125,132.05,132.07,132.03,132.05,-0.56,-0.42,3447,1722000
19910124,132.61,133.17,132.57,132.61,-0.56,-0.42,1857,917000
19910123,133.17,133.72,133.14,133.17,-0.55,-0.41,1095,575000
19910122,133.72,134.24,133.66,133.72,-0.52,-0.39,354,180000
19910121,133.7,134.24,133.66,134.24,0,0,2051,1029000
19910118,133.7,134.25,133.67,134.24,-0.01,-0.01,3004,1570000
19910117,133.67,134.25,133.65,134.25,0.01,0.01,658,334000
19910116,134.19,134.74,134.14,134.24,-0.5,-0.37,509,270000
19910115,134.21,134.74,134.19,134.74,0.07,0.05,1446,1010000
19910114,134.11,135.19,134.11,134.67,0.07,0.05,12530,6883000
19910111,134.61,134.61,134.51,134.6,0.63,0.47,13327,7115000
19910110,133.93,133.97,133.34,133.97,0.63,0.47,9990,5399000
19910109,133.3,133.34,132.68,133.34,0.66,0.5,5603,3228000
19910108,132.62,132.68,132.06,132.68,0.62,0.47,2926,1806000
19910107,131.99,132.06,131.45,132.06,0.62,0.47,217,141000
19910104,131.27,131.44,130.14,131.44,1.3,1,420,261000
19910103,128.84,130.14,128.84,130.14,1.3,1.01,141,93000
19910102,127.61,128.84,127.61,128.84,1.23,0.96,91,59000
19910628,137.41,137.56,136.19,137.56,1.37,1.01,4935,3032000
19910627,136.04,136.19,134.83,136.19,1.36,1.01,4497,2521000
19910626,134.83,134.83,133.49,134.83,1.34,1,3409,2149000
19910625,133.48,133.49,132.17,133.49,1.32,1,1624,1296000
19910624,132.1,132.17,131.8,132.17,1.31,1,1960,1657000
19910621,130.72,130.86,128.81,130.86,1.29,1,13613,7746000
19910620,129.55,129.57,129.21,129.57,1.28,1,2299,1321000
19910619,128.12,128.29,127.03,128.29,1.26,0.99,1481,744000
19910618,127.03,127.03,126.67,127.03,1.26,1,2030,1015000
19910617,125.63,125.77,123.54,125.77,1.24,1,6933,4056000
19910614,124.47,126.34,124.47,124.53,-0.81,-0.65,6633,3541000
19910613,125.33,125.34,123.65,125.34,1.23,0.99,20868,11563000
19910612,123.9,124.11,122.89,124.11,1.22,0.99,1372,735000
19910611,122.89,122.89,121.67,122.89,1.22,1,543,375000
19910610,121.65,121.67,120.47,121.67,1.2,1,400,458000
19910607,120.46,120.47,119.35,120.47,2.3,0.94,100,83000
19910606,119.26,119.35,118.17,119.35,1.18,1,266,160000
19910605,118.17,118.17,117.14,118.17,1.05,0.9,308,279000
19910604,117.12,117.12,116.83,117.12,1.15,0.99,3603,2018000
19910603,115.9,115.97,114.89,115.97,1.14,0.99,954,1643000
19910531,114.83,114.83,113.84,114.83,1.01,0.89,1211,1470000
19910530,113.74,113.82,112.77,113.82,1.07,0.95,388,753000
19910529,112.75,112.75,111.67,112.75,1.07,0.96,530,1320000
19910528,111.61,111.68,111.36,111.68,1.02,0.92,1630,970000
19910527,111.05,111.07,109.47,110.66,0.58,0.53,8619,3827000
19910524,110.07,110.08,109.82,110.08,1,0.92,1024,661000
19910523,107.52,109.16,107.35,109.08,0.83,0.77,5609,2770000
19910522,109.71,109.82,108.11,108.25,-0.56,-0.51,18677,7967000
19910521,108.89,108.89,108.62,108.81,0.99,0.92,771,1309000
19910520,107.76,107.82,106.71,107.82,1.07,1,863,924000
19910517,105.12,106.75,104.96,106.75,0.98,0.93,20192,7633000
19910516,105.83,105.86,105.69,105.77,-0.8,-0.75,3108,1445000
19910515,106.56,106.6,106.42,106.57,-0.62,-0.58,390,307000
19910514,107.21,107.84,107.06,107.19,-0.65,-0.6,267,185000
19910513,107.88,107.88,107.74,107.84,-0.69,-0.64,235,182000
19910510,108.61,109.4,108.53,108.53,-1.5,-0.7,249,313000
19910509,109.36,110.12,109.29,109.29,-0.74,-0.67,2266,--
19910508,110.16,110.82,110,110.03,-0.79,-0.71,423,375000
19910507,110.8,110.9,110.8,110.82,-0.79,-0.71,1875,907000
19910506,111.65,112.41,111.57,111.61,-0.8,-0.71,2764,1423000
19910503,112.46,113.17,112.3,112.41,-0.75,-0.66,4230,2386000
19910502,113.04,113.2,113.03,113.16,-0.78,-0.68,1465,1124000
19910430,113.89,114.87,113.89,113.94,-0.81,-0.71,4850,2734000
19910429,114.86,116.29,114.75,114.75,-0.81,-0.7,8411,3610000
19910426,116.31,116.31,114.52,115.56,0.2,0.17,13354,5806000
19910425,115.38,115.79,115.33,115.36,-0.43,-0.37,1495,998000
19910424,115.7,116.19,115.7,115.79,-0.4,-0.34,148,121000
19910423,116.21,116.63,116.15,116.19,-0.44,-0.38,282,264000
19910422,116.63,117.08,116.58,116.63,-0.45,-0.38,430,321000
19910419,117.08,117.5,117.05,117.08,-0.37,-0.32,646,424000
19910418,117.45,117.93,117.45,117.45,-0.45,-0.38,178,133000
19910417,117.92,118.34,117.89,117.9,-0.44,-0.37,201,259000
19910416,118.36,118.77,118.34,118.34,-0.43,-0.36,105,177000
19910415,118.73,119.22,118.72,118.77,-0.44,-0.37,301,386000
19910412,119.2,119.65,119.15,119.21,-0.43,-0.36,399,301000
19910411,119.64,120.16,119.62,119.64,-0.52,-0.43,239,576000
19910410,120.15,120.62,120.09,120.16,-0.46,-0.38,466,281000
19910409,120.6,121.1,120.6,120.62,-0.47,-0.39,320,297000
19910408,121.11,121.11,121.05,121.09,-0.45,-0.37,1862,1675000
19910405,121.07,121.73,121.03,121.54,-0.18,-0.15,11589,6035000
19910404,122.2,122.2,121.24,121.72,0.01,0.01,10517,5045000
19910403,121.71,121.71,121.21,121.71,0.5,0.41,2063,977000
19910402,121.21,121.29,120.73,121.21,0.48,0.4,816,387000
19910401,120.69,120.73,119.68,120.73,0.54,0.45,11999,5666000
19910930,180.28,181.95,180.27,180.92,-0.9,-0.5,25594,22336000
19910927,183.12,183.89,181.19,181.82,-0.51,-0.28,33728,20416000
19910926,182.21,183.19,181.93,182.33,-0.86,-0.47,6541,4620000
19910925,182.8,184.08,182.8,183.19,-0.89,-0.48,1389,934000
19910924,183.96,185.04,183.69,184.08,-0.92,-0.5,1426,1002000
19910923,185,185.92,184.71,185,-0.92,-0.49,4034,2806000
19910920,185.77,187.21,185.66,185.92,-0.96,-0.51,12075,7417000
19910919,187.65,189.21,186.49,186.88,-0.75,-0.4,23439,14607000
