日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(股),成交金额(元),成交金额(亿元)
2002/3/29,1313.47,1313.47,1313.47,1313.47,-39.06,-2.89,0,0,0
2002/3/28,1352.53,1352.53,1352.53,1352.53,-1.57,-0.12,0,0,0
2002/3/27,1354.1,1354.1,1354.1,1354.1,4.09,0.3,0,0,0
2002/3/26,1350.01,1350.01,1350.01,1350.01,-23,-1.68,0,0,0
2002/3/25,1373.01,1373.01,1373.01,1373.01,3.11,0.23,0,0,0
2002/3/22,1369.9,1369.9,1369.9,1369.9,-15.89,-1.15,0,0,0
2002/3/21,1385.79,1385.79,1385.79,1385.79,3.37,0.24,0,0,0
2002/3/20,1382.42,1382.42,1382.42,1382.42,14.04,1.03,0,0,0
2002/3/19,1368.38,1368.38,1368.38,1368.38,26.47,1.97,0,0,0
2002/3/18,1341.91,1341.91,1341.91,1341.91,3.21,0.24,0,0,0
2002/3/15,1338.7,1338.7,1338.7,1338.7,-37.63,-2.73,0,0,0
2002/3/14,1376.33,1376.33,1376.33,1376.33,33.19,2.47,0,0,0
2002/3/13,1343.14,1343.14,1343.14,1343.14,-19.26,-1.41,0,0,0
2002/3/12,1362.4,1362.4,1362.4,1362.4,-14.64,-1.06,0,0,0
2002/3/11,1377.04,1377.04,1377.04,1377.04,25.19,1.86,0,0,0
2002/3/8,1351.85,1351.85,1351.85,1351.85,23.46,1.77,0,0,0
2002/3/7,1328.39,1328.39,1328.39,1328.39,39.95,3.1,0,0,0
2002/3/6,1288.44,1288.44,1288.44,1288.44,12.83,1.01,0,0,0
2002/3/5,1275.61,1275.61,1275.61,1275.61,29.74,2.39,0,0,0
2002/3/4,1245.87,1245.87,1245.87,1245.87,18.64,1.52,0,0,0
2002/3/1,1227.23,1227.23,1227.23,1227.23,-17.37,-1.4,0,0,0
2002/2/28,1244.6,1244.6,1244.6,1244.6,-11.4,-0.91,0,0,0
2002/2/27,1256,1256,1256,1256,2.88,0.23,0,0,0
2002/2/26,1253.12,1253.12,1253.12,1253.12,-1.49,-0.12,0,0,0
2002/2/25,1254.61,1254.61,1254.61,1254.61,19.52,1.58,0,0,0
2002/2/8,1235.09,1235.09,1235.09,1235.09,-5.93,-0.48,0,0,0
2002/2/7,1241.02,1241.02,1241.02,1241.02,24.23,1.99,0,0,0
2002/2/6,1216.79,1216.79,1216.79,1216.79,-30.05,-2.41,0,0,0
2002/2/5,1246.84,1246.84,1246.84,1246.84,9.87,0.8,0,0,0
2002/2/4,1236.97,1236.97,1236.97,1236.97,21.23,1.75,0,0,0
2002/2/1,1215.74,1215.74,1215.74,1215.74,-6.02,-0.49,0,0,0
2002/1/31,1221.76,1221.76,1221.76,1221.76,75.9,6.62,0,0,0
2002/1/30,1145.86,1145.86,1145.86,1145.86,5.48,0.48,0,0,0
2002/1/29,1140.38,1140.38,1140.38,1140.38,27.55,2.48,0,0,0
2002/1/28,1112.83,1112.83,1112.83,1112.83,-76.6,-6.44,0,0,0
2002/1/25,1189.43,1189.43,1189.43,1189.43,-0.15,-0.01,0,0,0
2002/1/24,1189.58,1189.58,1189.58,1189.58,6.43,0.54,0,0,0
2002/1/23,1183.15,1183.15,1183.15,1183.15,73.16,6.59,0,0,0
2002/1/22,1109.99,1109.99,1109.99,1109.99,1.38,0.12,0,0,0
